number,question,optionA,optionB,optionC,answer
NO.79,An Al Specialist is tasked with configuring a generative model to create personalized sales emails using customer data stored in Salesforce. The AI Specialist has already fine-tuned a large language model (LLM) on the OpenAI platform. Security and data privacy are critical concerns for the client. How should the AI Specialist integrate the custom LLM into Salesforce?,A. Create an application of the custom LLM and embed it in Sales Cloud via iFrame.,B. Add the fine-tuned LLM in Einstein Studio Model Builder.,C. Enable model endpoint on OpenAl and make callouts to the model to generate emails.,B
NO.80,Where should the AI Specialist go to add/update actions assigned to a copilot?,"A. Copilot Actions page, the record page for the copilot action, or the Copilot Action Library tab",B. Copilot Actions page or Global Actions,"C. Copilot Detail page, Global Actions, or the record page for the copilot action",A
NO.81,"An AI Specialist turned on Einstein Generative AI in Setup. Now, the AI Specialist would like to create custom prompt templates in Prompt Builder. However, they cannot access Prompt Builder in the Setup menu. What is causing the problem?",A. The Prompt Template User permission set was not assigned correctly.,B. The Prompt Template Manager permission set was not assigned correctly.,C. The large language model (LLM) was not configured correctly in Data Cloud.,B
NO.82,"Universal Containers (UC) wants to enable its sales reps to explore opportunities that are similar to previously won opportunities by entering the utterance, ""Show me other opportunities like this one."" How should UC achieve this in Einstein Copilot?",A. Use the standard Copilot action.,B. Create a custom Copilot action calling a flow.,C. Create a custom Copilot action calling an Apex class.,A
NO.83,Universal Containers (UC) needs to improve the agent productivity in replying to customer chats. Which generative AI feature should help UC address this issue?,A. Case Summaries,B. Service Replies,C. Case Escalation,B
NO.84,An AI Specialist wants to ground a new prompt template with the User related list. What should the AI Specialist consider?,A. The User related list should have View All access.,B. The User related list needs to be included on the record page.,C. The User related list is not supported in prompt templates.,C
NO.85,Universal Container's internal auditing team asks an AI Specialist to verify that address information is properly masked in the prompt being generated. How should the AI Specialist verify the privacy of the masked data in the Einstein Trust Layer?,A. Enable data encryption on the address field,B. Review the platform event logs,C. Inspect the AI audit trail,C
NO.86,"Universal Containers needs a tool that can analyze voice and video call records to provide insights on competitor mentions, coaching opportunities, and other key information. The goal is to enhance the team's performance by identifying areas for improvement and competitive intelligence. Which feature provides insights about competitor mentions and coaching opportunities?",A. Call Summaries,B. Einstein Sales Insights,C. Call Explorer,C
NO.87,What is the primary function of the planner service in the Einstein Copilot system?,A. Generating record queries based on conversation history,B. Offering real-time language translation during conversations,C. Identifying copilot actions to respond to user utterances,C
NO.88,What is an appropriate use case for leveraging Agentforce Sales Agent in a sales context?,A. Enable a sates team to use natural language to invoke defined sales tasks grounded in relevant data and be able to ensure company policies are applied. conversationally and in the now or work.,B. Enable a sales team by providing them with an interactive step-by-step guide based on business rules to ensure accurate data entry into Salesforce and help close deals fatter.,"C. Instantly review and read incoming messages or emails that are then logged to the correct opportunity, contact, and account records to provide a full view of customer interactions and communications.",A
NO.89,An AI Specialist is setting up a new org and needs to ensure that users can create and execute prompt templates. The AI Specialist is unsure which roles are necessary for these tasks. Which permission sets should the AI Specialist assign to users who need to create and execute prompt templates?,A. Prompt Template Manager for creating templates and Data Cloud Admin for executing templates,B. Prompt Template Manager for creating templates and Prompt Template User for executing templates,C. Data Cloud Admin for creating templates and Prompt Template User for executing templates,B
NO.91,"An AI Specialist built a Field Generation prompt template that worked for many records, but users are reporting random failures with token limit errors. What is the cause of the random nature of this error?",A. The number of tokens generated by the dynamic nature of the prompt template will vary by record.,B. The template type needs to be switched to Flex to accommodate the variable amount of tokens generated by the prompt grounding.,C. The number of tokens that can be processed by the LLM varies with total user demand.,A
NO.92,Universal Containers implements three custom actions to get three distinct types of sales summaries for its users. Users are complaining that they are not getting the right summary based on their utterances. What should the AI Specialist investigate as the root cause?,A. Review that the custom action Is assigned to an Agent.,B. Review the action Instructions to ensure they are unique.,C. Ensure the input and output types are correctly chosen.,B
NO.96,"An AI Specialist has created a copilot custom action using flow as the reference action type. However, it is not delivering the expected results to the conversation preview, and therefore needs troubleshooting. What should the AI Specialist do to identify the root cause of the problem?","A. In Copilot Builder within the Dynamic Panel, turn on dynamic debugging to show the inputs and outputs.","B. Copilot Builder within the Dynamic Panel, confirm selected action and observe the values in Input and Output sections.","C. In Copilot Builder, verify the utterance entered by the user and review session event logs for debug information.",A
NO.98,"Universal Containers (UC) has implemented Generative AI within Salesforce to enable summarization of a custom object called Guest. Users have reported mismatches in the generated information. In refining its prompt design strategy, which key practices should UC prioritize?","A. Enable prompt test mode, allocate different prompt variations to a subset of users for evaluation, and standardize the most effective model based on performance feedback.","B. Create concise, clear, and consistent prompt templates with effective grounding, contextual role- playing, clear instructions, and iterative feedback.",C. Submit a prompt review case to Salesforce and conduct thorough testing In the playground to refine outputs until they meet user expectations.,B
NO.99,What is best practice when refining Einstein Copilot custom action instructions?,A. Provide examples of user messages that are expected to trigger the action.,B. Use consistent introductory phrases and verbs across multiple action instructions.,C. Specify the persona who will request the action.,A
NO.100,"Universal Containers (UC) wants to use the Draft with Einstein feature in Sales Cloud to create a personalized introduction email. After creating a proposed draft email, which predefined adjustment should UC choose to revise the draft with a more casual tone?",A. Make Less Formal,B. Enhance Friendliness,C. Optimize for Clarity,A
NO.101,Universal Containers (UC) wants to enable its sales team to get insights into product and competitor names mentioned during calls. How should UC meet this requirement?,"A. Enable Einstein Conversation Insights, assign permission sets, define recording managers, and customize insights with up to 50 competitor names.","B. Enable Einstein Conversation Insights, connect a recording provider, assign permission sets, and customize insights with up to 25 products.","C. Enable Einstein Conversation Insights, enable sales recording, assign permission sets, and customize insights with up to 50 products. ",C
NO.102,Universal Containers (UC) is implementing Einstein Generative AI to improve customer insights and interactions. UC needs audit and feedback data to be accessible for reporting purposes. What is a consideration for this requirement?,A. Storing this data requires Data Cloud to be provisioned.,B. Storing this data requires a custom object for data to be configured.,C. Storing this data requires Salesforce big objects.,A
NO.103,Universal Containers (UC) is looking to improve its sales team's productivity by providing real-time insights and recommendations during customer interactions. Why should UC consider using Agentforce Sales Agent?,A. To track customer interactions for future analysis,B. To automate the entire sales process for maximum efficiency,C. To streamline the sales process and increase conversion rates,C
NO.104,An AI Specialist is creating a custom action for Agentforce. Which setting should the AI Specialist test and iterate on to ensure the action performs as expected?,A. Action Name,B. Action Input,C. Action Instructions,C
NO.105,An AI Specialist needs to create a prompt template to fill a custom field named Latest Opportunities Summary on the Account object with information from the three most recently opened opportunities. How should the AI Specialist gather the necessary data for the prompt template?,A. Create a flow to retrieve the opportunity information.,B. Select the Account Opportunity object as a resource when creating the prompt template.,C. Select the latest Opportunities related list as a merge field.,A
NO.106,"What is an AI Specialist able to do when the ""Enrich event logs with conversation data"" setting in Einstein Copilot is enabled?",A. View the user click path that led to each copilot action.,B. View session data including user Input and copilot responses for sessions over the past 7 days.,C. Generate details reports on all Copilot conversations over any time period.,B
NO.108,An AI Specialist is creating a custom action in Einstein Copilot. Which option is available for the AI Specialist to choose for the custom copilot action?,A. Apex trigger,B. SOQL,C. Flows,C
NO.109,"The AI Specialist of Northern Trail Outfitters reviewed the organization's data masking settings within the Configure Data Masking menu within Setup. Upon assessing all of the fields, a few additional fields were deemed sensitive and have been masked within Einstein's Trust Layer. Which steps should the AI Specialist take upon modifying the masked fields?",A. Turn off the Einstein Trust Layer and turn it on again.,B. Test and confirm that the responses generated from prompts that utilize the data and masked data do not adversely affect the quality of the generated response,C. Turn on Einstein Feedback so that end users can report if there are any negative side effects on AI features.,B
NO.110,A sales rep at Universal Containers is extremely busy and sometimes will have very long sales calls on voice and video calls and might miss key details. They are just starting to adopt new generative AI features. Which Einstein Generative AI feature should an AI Specialist recommend to help the rep get the details they might have missed during a conversation?,A. Call Summary,B. Call Explorer,C. Sales Summary,A
NO.111,"Universal Containers wants to reduce overall agent handling time minimizing the time spent typing routine answers for common questions in-chat, and reducing the post-chat analysis by suggesting values for case fields. Which combination of Einstein for Service features enables this effort?",A. Einstein Service Replies and Work Summaries,B. Einstein Reply Recommendations and Case Summaries,C. Einstein Reply Recommendations and Case Classification,C
NO.113,Universal Containers recently launched a pilot program to integrate conversational AI into its CRM business operations with Einstein Copilot. How should the AI Specialist monitor Copilot's usability and the assignment of actions?,A. Run a report on the Platform Debug Logs.,B. Query the Copilot log data using the metadata API.,C. Run Einstein Copilot Analytics.,C
NO.114,What should an AI Specialist consider when using related list merge fields in a prompt template associated with an Account object in Prompt Builder?,A. The Activities related list on the Account object is not supported because it is a polymorphic field.,"B. If person accounts have been enabled, merge fields will not be available for the Account object.",C. Prompt generation will yield no response when there is no related list associated with an Account in runtime.,A
NO.115,"An AI Specialist needs to enable the use of Sales Email prompt templates for the sales team. The AI Specialist has already created the templates in Prompt Builder. According to best practices, which steps should the AI Specialist take to ensure the sales team can use these templates?",A. Assign the Prompt Template User permission set and enable Sales Emails in Setup.,B. Assign the Prompt Template Manager permission set and enable Sales Emails in setup.,C. Assign the Data Cloud Admin permission set and enable Sales Emails in Setup.,A
NO.116,What is the role of the large language model (LLM) in executing an Einstein Copilot Action?,A. Find similar requests and provide actions that need to be executed,B. Identify the best matching actions and correct order of execution,C. Determine a user's access and sort actions by priority to be executed,B
NO.117,"Universal Containers (UC) wants to enable its sales team with automatic post-call visibility into mention of competitors, products, and other custom phrases. Which feature should the AI Specialist set up to enable UC's sales team?",A. Call Summaries,B. Call Explorer,C. Call Insights,C
NO.118,An AI Specialist implements Einstein Sales Emails for a sales team. The team wants to send personalized follow-up emails to leads based on their interactions and data stored in Salesforce. The AI Specialist needs to configure the system to use the most accurate and up-to-date information for email generation. Which grounding technique should the AI Specialist use?,A. Ground with Apex Merge Fields,B. Ground with Record Merge Fields,C. Automatic grounding using Draft with Einstein feature,C
NO.119,"Universal Containers (UC) has recently received an increased number of support cases. As a result, UC has hired more customer support reps and has started to assign some of the ongoing cases to newer reps. Which generative AI solution should the new support reps use to understand the details of a case without reading through each case comment?",A. Einstein Copilot,B. Einstein Sales Summaries,C. Einstein Work Summaries,C
NO.120,Universal Containers wants to incorporate CRM data as well-formatted JSON in a prompt to a large language model (LLM). What is an important consideration for this requirement?,"A. ""CRM data to JSON"" checkbox must be selected when creating a prompt template.",B. Apex code can be used to return a JSON formatted merge field.,C. JSON format should be enabled in Prompt Builder Settings.,B
NO.121,How does the Einstein Trust Layer ensure that sensitive data is protected while generating useful and meaningful responses?,A. Masked data will be de-masked during response journey.,B. Masked data will be de-masked during request journey.,C. Responses that do not meet the relevance threshold will be automatically rejected.,A
NO.122,A data scientist needs to view and manage models in Einstein Studio. The data scientist also needs to create prompt templates in Prompt Builder. Which permission sets should an AI Specialist assign to the data scientist?,A. Data Cloud Admin and Prompt Template Manager,B. Prompt Template Manager and Prompt Template User,C. Prompt Template User and Data Cloud Admin,A
NO.124,"In addition to Recipient and Sender, which object should an AI Specialist utilize for inserting merge fields into a Sales email template prompt?",A. Recipient Opportunities,B. Recipient Account,C. User Organization,B
NO.126,Which mechanism within the Einstein Trust Layer helps to ensure that personal data is handled in compliance with data protection regulations like GDPR?,A. Toxicity Scoring,B. Data Masking,C. Prompt Defense,B
NO.127,An Al Specialist is creating a custom action for Agentforce. Which setting should the AI Specialist test and iterate on to ensure the action performs as expected?,A. Action Input,B. Action Name,C. Action Instructions,C
NO.128,"A Salesforce Administrator wants to generate personalized, targeted emails that incorporate customer interaction data. The admin wants to leverage large language models (LLMs) to write the emails, and wants to reuse templates for different products and customers. Which solution approach should the admin leverage?",A. Use sales Email standard templates,B. Create a t field Generation prompt template type,C. Create a Sales Email prompt template type.,C
NO.129,"A Salesforce Administrator is exploring the capabilities of Einstein Copilot to enhance user interaction within their organization. They are particularly interested in how Einstein Copilot processes user requests and the mechanism it employs to deliver responses. The administrator is evaluating whether Einstein Copilot directly interfaces with a large language model (LLM) to fetch and display responses to user inquiries, facilitating a broad range of requests from users. How does Einstein Copilot handle user requests In Salesforce?",A. Einstein Copilot will trigger a flow that utilizes a prompt template to generate the message.,B. Einstein Copilot will perform an HTTP callout to an LLM provider.,C. Einstein Copilot analyzes the user's request and LLM technology is used to generate and display the appropriate response.,C
NO.130,An AI Specialist at Universal Containers (UC) Is tasked with creating a new custom prompt template to populate a field with generated output. UC enabled the Einstein Trust Layer to ensure AI Audit data is captured and monitored for adoption and possible enhancements. Which prompt template type should the AI Specialist use and which consideration should they review?,"A. Flex, and that Dynamic Fields is enabled","B. Field Generation, and that Dynamic Fields is enabled","C. Field Generation, and that Dynamic Forms is enabled",B
NO.131,Universal Containers wants to utilize Einstein for Sales to help sales reps reach their sales quotas by providing Al-generated plans containing guidance and steps for closing deals. Which feature should the AI Specialist recommend to the sales team?,A. Find Similar Deals,B. Create Account Plan,C. Create Close Plan,C
NO.132,"An account manager is preparing for an upcoming customer call and wishes to get a snapshot of key data points from accounts, contacts, leads, and opportunities in Salesforce. Which feature provides this?",A. Sales Summaries,B. Sales Insight Summary,C. Work Summaries,B
NO.133,Universal Containers (UC) is building a Flex prompt template. UC needs to use data returned by the flow in the prompt template. Which flow element should UC use?,A. Add Flex Instructions,B. Add Prompt Instructions,C. Add Flow Instructions,C
NO.134,"An AI Specialist at Universal Containers is trying to set up a new Field Generation prompt template. They take the following steps. 1. Create a new Field Generation prompt template. 2. Choose Case as the object type. 3. Select the custom field AI_Analysis_c as the target field. After creating the prompt template, the AI Specialist saves, tests, and activates it. Howsoever, when they go to a case record, the AI Analysis field does not show the (Sparkle) icon on the Edit pencil. When the AI Specialist was editing the field, it was behaving as a normal field. Which critical step did the AI Specialist miss?",A. They forgot to reactivate the Lightning page layout for the Case object after activating their Field Generation prompt template.,B. They forgot that the Case Object is not supported for Add generation as Feinstein Service Replies should be used instead.,C. They forgot to edit the Lightning page layout and associate the field to a prompt template,C
NO.135,Universal Containers is rolling out a new generative AI initiative. Which Prompt Builder limitations should the AI Specialist be aware of?,A. Rich text area fields are only supported in Flex template types.,B. Creations or updates to the prompt templates are not recorded in the Setup Audit Trail.,C. Custom objects are supported only for Flex template types.,C
NO.136,Universal Containers (UC) wants to enable its sales team to use Al to suggest recommended products from its catalog. Which type of prompt template should UC use?,A. Record summary prompt template,B. Email generation prompt template,C. Flex prompt template,C
NO.137,"Universal Containers (UC) plans to send one of three different emails to its customers based on the customer's lifetime value score and their market segment. Considering that UC are required to explain why an e-mail was selected, which AI model should UC use to achieve this?",A. Predictive model and generative model,B. Generative model,C. Predictive model,C
NO.138,What is a Salesforce AI Specialist able to configure in Data Masking within the Einstein Trust Layer?,A. The profiles exempt from masking,B. The encryption keys for masking,C. The privacy data entities to be masked,C
NO.140,"An AI Specialist at Universal Containers is working on a prompt template to generate personalized emails for product demonstration requests from customers. It is important for the Al- generated email to adhere strictly to the guidelines, using only associated opportunity information, and to encourage the recipient to take the desired action. How should the AI Specialist include these instructions on a new line in the prompt template?","A. Surround them with triple quotes ("""""").",B. Make sure merged fields are defined.,C. Use curly brackets {} to encapsulate instructions.,A
NO.141,Universal Containers has a new AI project. What should an AI Specialist consider when adding a related list on the Account object to be used in the prompt template?,"A. After selecting a related list from the Account, use the field picker to choose merge fields in Prompt Builder.",B. Prompt Builder must be used to assign the fields from the related list as a JSON format.,C. The fields for the related list are based on the default page layout of the Account for the current user.,A
NO.142,"After creating a foundation model in Einstein Studio, which hyperparameter should an AI Specialist use to adjust the balance between consistency and randomness of a response?",A. Presence Penally,B. Variability,C. Temperature,C
NO.143,Universal Containers wants to be able to detect with a high level confidence if content generated by a large language model (LLM) contains toxic language. Which action should an Al Specialist take in the Trust Layer to confirm toxicity is being appropriately managed?,A. Access the Toxicity Detection log in Setup and export all entries where isToxicityDetected is true.,B. Create a flow that sends an email to a specified address each time the toxicity score from the response exceeds a predefined threshold.,C. Create a Trust Layer audit report within Data Cloud that uses a toxicity detector type filter to display toxic responses and their respective scores.,C
NO.144,Universal Containers implemented Einstein Copilot for its users. One user complains that Einstein Copilot is not deleting activities from the past 7 days. What is the reason for this issue?,A. Einstein Copilot Delete Record Action permission is not associated to the user.,B. Einstein Copilot does not have the permission to delete the user's records.,C. Einstein Copilot does not support the Delete Record action.,C
NO.145,What is the importance of Action Instructions when creating a custom Agent action?,A. Action Instructions tell the user how to call this action in a conversation,B. Action Instructions tell the large language model (LLM) which action to use.,C. Action Instructions define the expected user experience of an action.,C
NO.146,Universal Containers is using Einstein Copilot for Sales to find similar opportunities to help close deals faster. The team wants to understand the criteria used by the copilot to match opportunities. What is one criteria that Einstein Copilot for Sales uses to match similar opportunities?,A. Matched opportunities are limited to the same account.,B. Matched opportunities were created in the last 12 months.,C. Matched opportunities have a status of Closed Won from last 12 months.,C
NO.147,Universal Containers (UC) needs to save agents time with AI-generated case summaries. UC has implemented the Work Summary feature. What does Einstein consider when generating a summary?,"A. Generation is grounded with conversation context, Knowledge articles, and cases.",B. Generation is grounded with existing conversation context only.,C. Generation is grounded with conversation context and Knowledge articles.,A
NO.148,"Before activating a custom copilot action, an AI Specialist would like is to understand multiple real-world user utterances to ensure the action being selected appropriately. Which tool should the AI Specialist recommend?",A. Model Playground,B. Einstein Copilot,C. Copilot Builder,C
NO.149,Universal Containers (UC) is using standard Service AI Grounding. UC created a custom rich text field to be used with Service AI Grounding. What should UC consider when using standard Service AI Grounding?,A. Service AI Grounding only works with Case and Knowledge objects.,B. Service AI Grounding only supports String and Text Area type fields.,C. Service AI Grounding visibility works m system mode.,B
NO.150,"Universal Containers has a strict change management process that requires all possible configuration to be completed in a sandbox which will be deployed to production. The AI Specialist is tasked with setting up Work Summaries for Enhanced Messaging. Einstein Generative AI is already enabled in production, and the Einstein Work Summaries permission set is already available in production. Which other configuration steps should the AI Specialist take in the sandbox that can be deployed to the production org?","A. create custom fields to store Issue, Resolution, and Summary; create a Quick Action that updates these fields: add the Wrap Up component to the Messaging Session record paae layout: and create Permission Set Assignments for the intended Agents.","B. From the Epstein setup menu, select Turn on Einstein: create custom fields to store Issue, Resolution, and Summary: create a Quick Action that updates these fields: and add the wrap up componert to the Messaging session record page layout.","C. Create custom fields to store issue, Resolution, and Summary; create a Quick Action that updates these fields: and ado the Wrap up component to the Messaging session record page lavcut.",C
NO.151,Which feature in the Einstein Trust Layer helps to minimize the risks of jailbreaking and prompt injection attacks?,A. Secure Data Retrieval and Grounding,B. Data Masking,C. Prompt Defense,C
NO.152,Universal Containers (UC) wants to use Flow to bring data from unified Data Cloud objects to prompt templates. Which type of flow should UC use?,A. Template-triggered prompt flow,B. Unified-object linking flow,C. Data Cloud-triggered flow,A
NO.153,"An AI Specialist at Universal Containers (UC) is building with no-code tools only. They have many small accounts that are only touched periodically by a specialized sales team, and UC wants to maximize the sales operations team's time. UC wants to help prep the sales team for the calls by summarizing past purchases, interests in products shown by the Contact captured via Data Cloud, and a recap of past email and phone conversations for which there are transcripts. Which approach should the AI Specialist recommend to achieve this use case?",A. Use a prompt template grounded on CRH and Data Cloud data using standard foundation model.,B. Fine-Tune the standard foundational model due to the complexity of the data.,C. Deploy UC's own custom foundational model on this data first.,A
NO.154,Universal Containers (UC) is implementing generative AI and wants to leverage a prompt template to provide responses to customers that gives personalized product recommendations to website visitors based on their browsing history. Which initial step should UC take to ensure the chatbot can deliver accurate recommendations',A. Design universal product recommendations.,B. Write a response scrip for the chatbot.,C. Collect and analyze browsing data.,C
NO.155,An administrator is responsible for ensuring the security and reliability of Universal Containers' (UC) CRM data. UC needs enhanced data protection and up-to-date AI capabilities. UC also needs to include relevant information from a Salesforce record to be merged with the prompt. Which feature in the Einstein Trust Layer best supports UC's need?,A. Data masking,B. Dynamic grounding with secure data retrieval,C. Zero-data retention policy,B
NO.156,Universal Containers' sales team engages in numerous video sales calls with prospects across the nation. Sales management wants an easy way to understand key information such as deal terms or customer sentiments. Which Einstein Generative AI feature should an AI Specialist recommend for this request?,A. Einstein Call Summaries,B. Einstein Conversation Insights,C. Einstein Video KPI,A
NO.157,"An AI Specialist wants to troubleshoot their Agent's performance. Where should the AI Specialist go to access all user interactions with the Agent, including Agent erro|rs, incorrectly triggered actions, and incomplete plans?",A. Event Logs,B. Plan Canvas,C. Agent Settings,B